commodity_id,category
Beans,legume
Bulgur,grain
Cheese,protein
Fish,protein
Meat,protein
Corn-soya blend (CSB),fortified
Dates,sweetener
Dried skim milk (enriched) (DSM),dairy
Milk,dairy
Salt,condiment
Lentils,legume
Maize,grain
Maize meal,grain
Chickpeas,legume
Rice,grain
Sorghum/millet,grain
Soya-fortified bulgur wheat,fortified
Soya-fortified maize meal,fortified
Soya-fortified sorghum grits,fortified
Soya-fortified wheat flour,fortified
Sugar,sweetener
Oil,fat
Wheat,grain
Wheat flour,grain
Wheat-soya blend (WSB),fortified
